,depth,id,remodel,unchanged,resorp,quad,bone_type,load,posi,rad_loc,depth_val
338,35-40,AnteriorCortical_STD_75,0.00037495875,0.99962504125,0.0,Anterior,Cortical,75,STD,0,35
342,35-40,AnteriorCortical_STD_45,0.0011246675000000002,0.9988753325,0.0,Anterior,Cortical,45,STD,0,35
346,35-40,AnteriorTrabecular_STD_75,0.48477169500000006,0.46898009,0.046248213749999996,Anterior,Trabecular,75,STD,0,35
350,35-40,AnteriorTrabecular_STD_45,0.47320211,0.4812492475,0.04554864125,Anterior,Trabecular,45,STD,0,35
354,35-40,AnteriorCortical_SUP_75,0.0036170200000000003,0.99638298,0.0,Anterior,Cortical,75,SUP,0,35
358,35-40,AnteriorCortical_SUP_45,0.00488664625,0.99511335375,0.0,Anterior,Cortical,45,SUP,0,35
362,35-40,AnteriorTrabecular_SUP_75,0.45942221875,0.4749405725,0.0656372075,Anterior,Trabecular,75,SUP,0,35
366,35-40,AnteriorTrabecular_SUP_45,0.45073679624999996,0.4791435825,0.07011962125,Anterior,Trabecular,45,SUP,0,35
370,35-40,AnteriorCortical_INF_75,0.0,1.0,0.0,Anterior,Cortical,75,INF,0,35
374,35-40,AnteriorCortical_INF_45,0.0,1.0,0.0,Anterior,Cortical,45,INF,0,35
378,35-40,AnteriorTrabecular_INF_75,0.58249283625,0.38130248,0.03620468125,Anterior,Trabecular,75,INF,0,35
382,35-40,AnteriorTrabecular_INF_45,0.5758685674999999,0.38402103,0.040110402499999996,Anterior,Trabecular,45,INF,0,35
290,30-35,AnteriorCortical_STD_75,0.00064638,0.99935362,0.0,Anterior,Cortical,75,STD,0,30
294,30-35,AnteriorCortical_STD_45,0.0012264,0.9987735999999999,0.0,Anterior,Cortical,45,STD,0,30
298,30-35,AnteriorTrabecular_STD_75,0.5419888325000001,0.45331018624999997,0.00470098125,Anterior,Trabecular,75,STD,0,30
302,30-35,AnteriorTrabecular_STD_45,0.53622882375,0.45798204249999996,0.0057891324999999995,Anterior,Trabecular,45,STD,0,30
306,30-35,AnteriorCortical_SUP_75,0.012903645,0.987096355,0.0,Anterior,Cortical,75,SUP,0,30
310,30-35,AnteriorCortical_SUP_45,0.017239003750000002,0.98276099625,0.0,Anterior,Cortical,45,SUP,0,30
314,30-35,AnteriorTrabecular_SUP_75,0.5283901,0.4277556900000001,0.043854208750000005,Anterior,Trabecular,75,SUP,0,30
318,30-35,AnteriorTrabecular_SUP_45,0.52590629625,0.43006235875000004,0.04403134375000001,Anterior,Trabecular,45,SUP,0,30
322,30-35,AnteriorCortical_INF_75,0.009231995,0.9907680050000001,0.0,Anterior,Cortical,75,INF,0,30
326,30-35,AnteriorCortical_INF_45,0.013666211250000001,0.9863337887500001,0.0,Anterior,Cortical,45,INF,0,30
330,30-35,AnteriorTrabecular_INF_75,0.6519903100000001,0.33858337749999995,0.00942631125,Anterior,Trabecular,75,INF,0,30
334,30-35,AnteriorTrabecular_INF_45,0.64655442875,0.34306254750000004,0.010383024999999999,Anterior,Trabecular,45,INF,0,30
242,25-30,AnteriorCortical_STD_75,0.031154992500000003,0.9688450075,0.0,Anterior,Cortical,75,STD,0,25
246,25-30,AnteriorCortical_STD_45,0.04451780875,0.95548219125,0.0,Anterior,Cortical,45,STD,0,25
250,25-30,AnteriorTrabecular_STD_75,0.47662386,0.5168134275,0.0065627125,Anterior,Trabecular,75,STD,0,25
254,25-30,AnteriorTrabecular_STD_45,0.4865892475,0.503738,0.00967275375,Anterior,Trabecular,45,STD,0,25
258,25-30,AnteriorCortical_SUP_75,0.12771707375,0.8722829262499999,0.0,Anterior,Cortical,75,SUP,0,25
262,25-30,AnteriorCortical_SUP_45,0.13066396875,0.86933603125,0.0,Anterior,Cortical,45,SUP,0,25
266,25-30,AnteriorTrabecular_SUP_75,0.55007489125,0.41358452375,0.03634058625,Anterior,Trabecular,75,SUP,0,25
270,25-30,AnteriorTrabecular_SUP_45,0.558345595,0.40172367625,0.03993073125,Anterior,Trabecular,45,SUP,0,25
274,25-30,AnteriorCortical_INF_75,0.06660142125,0.93049915125,0.00289942625,Anterior,Cortical,75,INF,0,25
278,25-30,AnteriorCortical_INF_45,0.10108478875,0.89796162875,0.0009535825,Anterior,Cortical,45,INF,0,25
282,25-30,AnteriorTrabecular_INF_75,0.6889273425000001,0.305745155,0.005327500000000001,Anterior,Trabecular,75,INF,0,25
286,25-30,AnteriorTrabecular_INF_45,0.6919363187500001,0.30294698375,0.0051166975000000005,Anterior,Trabecular,45,INF,0,25
194,20-25,AnteriorCortical_STD_75,0.1164428875,0.8833850649999999,0.00017204750000000002,Anterior,Cortical,75,STD,0,20
198,20-25,AnteriorCortical_STD_45,0.12842220875,0.87140574375,0.00017204750000000002,Anterior,Cortical,45,STD,0,20
202,20-25,AnteriorTrabecular_STD_75,0.29847515875,0.6663951912499999,0.03512964875,Anterior,Trabecular,75,STD,0,20
206,20-25,AnteriorTrabecular_STD_45,0.3139458975,0.6507328875,0.035321215,Anterior,Trabecular,45,STD,0,20
210,20-25,AnteriorCortical_SUP_75,0.3146186775,0.6851297700000001,0.0002515525,Anterior,Cortical,75,SUP,0,20
214,20-25,AnteriorCortical_SUP_45,0.32341828624999996,0.67633016125,0.0002515525,Anterior,Cortical,45,SUP,0,20
218,20-25,AnteriorTrabecular_SUP_75,0.48978600125,0.48393128625000004,0.02628271125,Anterior,Trabecular,75,SUP,0,20
222,20-25,AnteriorTrabecular_SUP_45,0.5045961275,0.46659289125000003,0.02881098125,Anterior,Trabecular,45,SUP,0,20
226,20-25,AnteriorCortical_INF_75,0.376693335,0.61483319875,0.008473466249999999,Anterior,Cortical,75,INF,0,20
230,20-25,AnteriorCortical_INF_45,0.43324256,0.55922193375,0.007535507500000001,Anterior,Cortical,45,INF,0,20
234,20-25,AnteriorTrabecular_INF_75,0.643581765,0.33161972125,0.024798516250000003,Anterior,Trabecular,75,INF,0,20
238,20-25,AnteriorTrabecular_INF_45,0.63451711125,0.3438573325,0.0216255575,Anterior,Trabecular,45,INF,0,20
146,15-20,AnteriorCortical_STD_75,0.242052845,0.75409542875,0.00385172625,Anterior,Cortical,75,STD,0,15
150,15-20,AnteriorCortical_STD_45,0.254256295,0.7395061925,0.006237512500000001,Anterior,Cortical,45,STD,0,15
154,15-20,AnteriorTrabecular_STD_75,0.22830831499999998,0.72669027875,0.04500140625,Anterior,Trabecular,75,STD,0,15
158,15-20,AnteriorTrabecular_STD_45,0.22284552,0.7349414550000001,0.0422130225,Anterior,Trabecular,45,STD,0,15
162,15-20,AnteriorCortical_SUP_75,0.5265948,0.47292841625000004,0.00047678375000000003,Anterior,Cortical,75,SUP,0,15
166,15-20,AnteriorCortical_SUP_45,0.526036375,0.47376264125,0.00020098375000000002,Anterior,Cortical,45,SUP,0,15
170,15-20,AnteriorTrabecular_SUP_75,0.51193757875,0.45969857250000007,0.02836385,Anterior,Trabecular,75,SUP,0,15
174,15-20,AnteriorTrabecular_SUP_45,0.5379774150000001,0.43460794625,0.02741464,Anterior,Trabecular,45,SUP,0,15
178,15-20,AnteriorCortical_INF_75,0.6458856975,0.3488856575,0.0052286450000000005,Anterior,Cortical,75,INF,0,15
182,15-20,AnteriorCortical_INF_45,0.6609204062499999,0.33649428125,0.0025853125,Anterior,Cortical,45,INF,0,15
